property_id,price,property_subtype,province,locality_name,postal_code,latitude,longitude,living_area,surface_of_good,number_of_facades,kitchen_type,furnished,open_fire,terrace,terrace_area,garden,garden_area,swimming_pool,state_of_building
32053000,239000.0,APARTMENT,Liège,Verviers,4830,50.6122661,5.9390837,91.0,,,MISSING,0,0,1,18.0,0,0.0,0,MISSING
72662000,275000.0,APARTMENT,Liège,Liège,4100,50.5793512,5.5467985,105.0,,,INSTALLED,0,0,1,8.0,0,0.0,0,MISSING
34813000,120000.0,APARTMENT,East Flanders,Dendermonde,9200,51.0230602,4.1059861,,,,INSTALLED,0,0,1,,0,0.0,0,MISSING
16285000,110000.0,FLAT_STUDIO,Liège,Liège,4000,50.6395349,5.5737307,36.0,,,MISSING,0,1,0,0.0,0,0.0,0,MISSING
55751000,299000.0,APARTMENT,East Flanders,Aalst,9320,50.9221158,4.055653,102.0,,,INSTALLED,0,0,0,0.0,0,0.0,0,MISSING
35970000,418450.0,APARTMENT,East Flanders,Aalst,9300,50.9344664,4.0478825,117.0,,,MISSING,0,0,1,18.0,0,0.0,0,MISSING
57539000,430000.0,APARTMENT,Antwerp,Antwerp,2000,51.2184821,4.4162104,68.0,,,MISSING,0,0,1,,0,0.0,0,MISSING
43067000,483000.0,APARTMENT,Brussels,Brussels,1200,,,93.0,,2.0,MISSING,0,0,1,11.0,0,0.0,0,AS_NEW
55254000,420000.0,APARTMENT,Liège,Waremme,4357,50.6427323,5.3220331,105.0,,4.0,INSTALLED,0,0,1,59.0,0,0.0,0,MISSING
7328000,310000.0,GROUND_FLOOR,Antwerp,Mechelen,2500,51.1396768,4.5503972,96.0,,,HYPER_EQUIPPED,0,0,1,10.0,1,62.0,0,AS_NEW
61562000,235000.0,APARTMENT,Antwerp,Antwerp,2170,51.2528234,4.4356719,85.0,,2.0,INSTALLED,0,1,1,2.0,0,0.0,0,GOOD
49574000,2295000.0,APARTMENT,West Flanders,Brugge,8300,51.3535678,3.2905412,,,,MISSING,0,0,0,0.0,0,0.0,0,AS_NEW
43639000,295000.0,APARTMENT,Antwerp,Turnhout,2300,51.3349815,4.9654865,93.0,,3.0,MISSING,0,0,1,21.0,0,0.0,0,AS_NEW
64195000,310000.0,APARTMENT,Brussels,Brussels,1082,50.8614483,4.2829085,84.0,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
18661000,294948.0,APARTMENT,Walloon Brabant,Nivelles,1480,50.6860556,4.2075045,94.0,,2.0,USA_INSTALLED,0,0,1,36.0,0,0.0,0,MISSING
64833000,185000.0,APARTMENT,Hainaut,Mons,7000,50.4526691,3.9534635,130.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,GOOD
54486000,189500.0,APARTMENT,West Flanders,Oostend,8434,51.1681975,2.7766112,54.0,,,SEMI_EQUIPPED,0,0,1,,0,0.0,0,MISSING
2265000,235000.0,APARTMENT,West Flanders,Oostend,8400,51.2318755,2.9211131,58.0,,,MISSING,0,0,1,4.0,0,0.0,0,GOOD
39504000,565000.0,APARTMENT,West Flanders,Veurne,8670,51.1333202,2.6726957,89.0,,,INSTALLED,0,0,0,0.0,0,0.0,0,MISSING
53863000,215000.0,APARTMENT,Antwerp,Antwerp,2600,51.2011878,4.4423192,80.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,AS_NEW
76114000,722900.0,APARTMENT,Antwerp,Mechelen,2800,51.0207466,4.4819647,146.0,,3.0,HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,MISSING
43971000,270000.0,APARTMENT,East Flanders,Dendermonde,9260,50.9915303,3.9244037,81.0,,,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,MISSING
54566000,287000.0,DUPLEX,Flemish Brabant,Halle-Vilvoorde,1780,50.900415,4.328685,115.0,,2.0,USA_HYPER_EQUIPPED,0,0,1,6.0,0,0.0,0,AS_NEW
34565000,125000.0,FLAT_STUDIO,Antwerp,Antwerp,2000,51.2205307,4.4169577,18.0,,2.0,HYPER_EQUIPPED,1,0,1,,0,0.0,0,AS_NEW
